Song,Artists,Lyrics,Joy,Trust,Fear,Surprise,Sadness,Disgust,Anger,Anticipation,
Blackout (Remix),"Tritonal, Steph Jones, Madison Mars","Two hungry hearts
a city divided
Pulled in the dark
so strong it was violent
Yeah, it was you and me
you and me
against the world
It was
you and me
you and me
against the world
Don't you worry, baby, there's a fire for us
No, we're not going down in a blackout
And if the stars above me
crumble into dust
No, we're not going down in a blackout
System's down
the system's down
But we made light in a blackout
Oh no, no, no
the waves on the wire
Streets growing cold, cold
But we burn, burn brighter
Cause it's like
you and me
you and me
against the world
It's like
you and me
you and me
against the world
Don't you worry, baby
there's a fire for us
No, we're not going down in a blackout
And if the stars above me
crumble into dust
No, we're not going down in a blackout
We made light in a, in a...
Going down, going down in a blackout
In a, in a...
Don't you worry, baby
there's a fire for us
No, we're not going down in a blackout
And if the stars above me
they crumble into dust
No, we're not going down in a blackout",0,1,0,0,0,0,0,0,
Something Just Like This,"The Chainsmokers, Coldplay","I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spiderman's control
And Batman with his fists
And clearly I don't see myself upon that list
But she said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
I want something just like this
I've been reading books of old
The legends and the myths
The testaments they told
The moon and its eclipse
And Superman unrolls
A suit before he lifts
But I'm not the kind of person that it fits
She said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can miss
I want something just like this
I want something just like this
I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo-doo
Where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this
Oh, I want something just like this
Oh, I want something just like this
Oh, I want something just like this",0,0,0,0,0,0,0,1,
Overdrive,"Tom Ferro, Gil ","Runnin into you
Opened up my eyes
Everything i knew
Was a compromise
And now there's more
To life and love
I want the flow
Tonight I'm yours
I wanna be dancing
I wanna feel your rollercoaster ride
I wanna be dancing
I wanna feel your beat on overdrive
Falling into you
Opened up my eyes
Changing point of view
Made me realise
And now there's more
To life and love
I want the flow
Tonight I'm yours
I wanna be dancing
I wanna feel your rollercoaster ride
I wanna be dancing
I wanna feel your beat on overdrive
Ooohhh
On overdrive
I wanna feel your beat on overdrive
I wanna feel your beat on overdrive",1,1,0,1,0,0,0,1,
L.A. Love Song (Remix),"XYLO, Win and Woo","Ice cold, heart is like a cool box
So grab another lite beer, baby
Inhale, breathing's getting harder
OD on you again
Late night, sun is getting higher
Red, white, I'm feelin' blue, baby
Bloodshot, head's a little lighter
OD on you again

We're all livin' in the gutter
Some of us are lookin' at the stars
Live fast, leave a pretty body
Lay it next to me

I wanna know, I wanna know
If this life will be the death of me, baby
Know, I gotta know, is this love?
I wanna know, I wanna know
If this life will be the death of me, baby
Know, I gotta know, is this love?

Tongue-tied, speakin' so softly
Come a little closer to me
Late night in the back of the taxi
I think that I love you
Nothing like the sun in California
It burns through the skin and
Deep breath, you know I tried to warn you
OD on me again
We're all looking at the gutter
But some of us are livin' with the stars
Live fast, leave a pretty body
I'll lay it next to you

I wanna know, I wanna know
If this life will be the death of me, baby
Know, I gotta know, is this love?
I wanna know, I wanna know
If this life will be the death of me, baby
Know, I gotta know, is this love?
Is this love?

Are you alive or are you just livin'?
Cause some of us are lookin' at the stars
Are you alive or are you just livin'?
Layin' next to me

I wanna know, I wanna know
If this life will be the death of me, baby
Know, I gotta know, is this love?
I wanna know, I wanna know
If this life will be the death of me, baby
Know, I gotta know, is this love?
Is this love?
Is this love?",0,0,0,0,1,0,0,0,
I'm Done,"MYNGA, Hechmann, Grant Genske ","You ruined my life
What you said in your message that night
left me broken and bruised
but now i know that you were wrong
You left me in shame
couldn't even take a look at your name
couldn't look at my phone
but now I know that you were wrong
So now I'm done, done, done
Oh I'm done with all your shit
So now I'm done, done, done
I'm starting to forget
So now I'm done, done, done
Now I'm going, I'm gone
Thought you broke me down, I came back ten times stronger, yeah
you thought you broke me down, I came back ten times stronger
I'm done!
Thought you broke me down, I came back ten times stronger
I'm done!
You killed me so deep
What you said holding me in my sleep
Left me dazed and confused
But now I know that you were wrong
You left me a mess
tried to hurt almost killed me with stress
but I finally confessed
and now I know that you were wrong
You were wrong!
So now I'm done, done, done
Oh I'm done with all your shit
So now I'm done, done, done
I'm starting to forget
Done, done, done
Now I'm going, I'm gone
Thought you broke me down, I came back ten times stronger, yeah
Now I'm done, done, done
I'm done
Thought you broke me down, I came back ten times stronger
I'm done",0,0,0,0,1,1,1,0,
Should've Been Us (Remix),"Tori Kelly, Panic City","Walking round with my head down
But I can't hide with these high heels on
Downtown in a thick crowd
But it's just you that my mind is on
Dressed up, got my heart messed up
You got yours and I got mine
It's unfair that I still care
And I wonder where you are tonight
Thinking it could be different
But maybe we missed it yeah
Thinking it could be different
It could, it could
It should've been us
Shoulda been a fire, shoulda been the perfect storm
It should've been us
Coulda been the real thing
Now we'll never know for sure, ooh
We were crazy, but amazing, baby we both know
It should've been us, us
It, it, it should've been us
Back and forth like a tug of war
What's it all for, do I want it back
I still got a little flame for ya
Even though you drove me mad
Now and then, I pretend
That it's you when I close my eyes
You got yours, I got mine
But I wonder where you are tonight
It should've been us
Shoulda been a fire, shoulda been the perfect storm
It should've been us
Coulda been the real thing
Now we'll never know for sure, ooh
We were crazy, but amazing, baby we both know
It should've been us, us
It, it, it should've been us
Oh oh, oh oh
It should've been us, yeah
Oh oh, oh oh, oh oh oh
Oh oh, oh oh
It should've been us
It, it, it should've been us
Oh oh, oh oh, oh oh oh oh
Oh oh, oh oh, oh oh oh
Oh oh, oh oh, oh oh oh oh
Oh oh, oh oh, oh oh oh
Thinking it could be different
But maybe we missed it
Thinking it could be different
It could, it could
It should've been us
Shoulda been a fire, shoulda been the perfect storm
It should've been us
Coulda been the real thing
Now we'll never know for sure, ooh
We were crazy, but amazing, baby we both know
It should've been us, us
It, it, it should've been us
Oh oh, oh oh
It should've been us, yeah
Oh oh, oh oh, oh oh oh
Oh oh, oh oh
It should've been us
It, it, it should've been us
Oh oh, oh oh
It should've been us
Oh oh, oh oh
You know it should've been us
Oh oh, oh oh
It should've been us
It, it, it should've been us",0,0,0,0,1,0,0,0,
Cutting Shapes,Don Diablo,"Dancin' is what to do,
Dancin's when I think of you,
Dancin's what clears my soul,
Dancin's what makes me whole
Dancin' is what to do
Dancin's when I think of you
Dancin's what clears my soul
Dancin's what makes me whole
Dancing, dancing, dancing
Dancin' is what to do
All the time, oh baby, all the time
Dancing, dancing, dancing
Dancin' is what to do
Dancin's when I think of you
Dancin's what clears my soul
Dancin's what makes me whole
Dancin' is what to do
Dancin's when I think of you
Dancin's what clears my soul
Dancin's what makes me whole
Dancing, dancing, dancing
Dancin' is what to do
Dancin's when I think of you
Dancin's what clears my soul
Dancin's what makes me whole
Dancin' is what to do, what to do, do do do
Dancin' is what to do
All the time, oh baby, all the time
Dancing, dancing, dancing",1,0,0,0,1,0,0,0,
Walls,"Sultan + Shepherd, Quilla ","When you let go, you let go, you let go
You don't know how 
You don't know how
But your walls will fall down
Yes your walls will fall down 
Your walls will finally fall down",0,1,0,0,0,0,0,1,
Melody,"Lost Frequencies, James Blunt","Hey melody
Every night you play me something sweet
And when I'm down, you always change the key
I need you now, my heart has lost the beat
And I'm counting on your love, hey melody
We both could use a reason just to smile
So let me be your harmony tonight
Every note you hit cuts into me
So let me hear your love, sing
So let me hear your love, sing
Let me hear your love, sing
So let me hear your love, sing
Let me hear your love, sing
Hey melody
Every night you play me something sweet
And when I'm down, you always change the key
I need you now, my heart has lost the beat
And I'm counting on your love, hey melody
We both could use a reason just to smile
So let me be your harmony tonight
Every note you hit cuts into me
So let me hear your love, sing
So let me hear your love, sing
Let me hear your love, sing
So let me hear your love, sing
Let me hear your love, sing",0,1,1,0,1,0,0,0,
Reality,"Lost Frequencies, Janieck Devy","Decisions as I go, to anywhere I flow
Sometimes I believe, at times where I should know
I can fly high, I can go low
Today I got a million, tomorrow, I don't know
Decisions as I go, to anywhere I flow
Sometimes I believe, at times where I should know
I can fly high, I can go low
Today I got a million, tomorrow, I don't know
Stop crying like you're home and think about the show
We're all playing the same game, laying down alone
We're unknown and wrong, special when I come
Hate will make you cautious, love will make you glow
Make me feel the warm, make me feel the cold
It's written in our story, it's written on the walls
This is our call, we rise and we fall
Dancin' in the moonlight, don't we have it all?
Decisions as I go, to anywhere I flow
Sometimes I believe, at times where I should know
I can fly high, I can go low
Today I got a million, tomorrow, I don't know
Make me feel the warm, make me feel the cold
It's written in our story, it's written on the walls
This is our call, we rise and we fall
Dancin' in the moonlight, don't we have it all?",1,1,0,0,0,0,0,1,
Tell Me,2Elements,"Love and trust, go together
My love, is flammable in anger
You tell me that you love me
You tell me that you love me
I believe it
You tell me that you love me
You tell me that you love me
I believe it
I believe it
You tell me that you love me
I believe it
Love and trust, go together
My love, is flammable in anger
You tell me that you love me
You tell me that you love me
I believe it
My love, is flammable in anger
You tell me that you love me
You tell me that you love me
that you love me
that you love me
that you love me
I believe it
You tell me that you love me
I believe it
You tell me that you love me
You tell me that you love me
that you love me
I believe it",0,1,0,0,0,0,0,0,
Carry You Home,"Tiesto, Stargate, Aloe Blacc","Everybody needs a little room to make mistakes
You don't have to be so perfect
You can go at your own pace
Just show me the real you
So that I can feel you
I promise I won't let you down
Just show me the real you
So that I can feel you
I promise I won't let you down
Let me carry you home
Let me carry you home
When you're tired and you're weary
And you have no strength to go on
Let me carry you home
Let me carry you home
When there's no one to turn to
And all you've had faith in is gone
Let me carry you home
Let me carry you home
Let me carry you home
Everyone deserves a little precious time
To stumble 'til they find a little piece of mind
Just show me the real you
So that I can feel you
I promise I won't let you down
Just show me the real you
So that I can feel you
I promise I won't let you down
Let me carry you home
Let me carry you home
When you're tired and you're weary
And you have no strength to go on
Let me carry you home
Let me carry you home
When there's no one to turn to
And all you've had faith in is gone
Let me carry you home
Let me carry you home
Let me carry you home
Let me carry you home
When there's no one to turn to
And all you've had faith in is gone
Let me carry you home",0,1,0,0,0,0,0,1,
Light It Up (Remix),"Major Lazer, Nyla, Fuse ODG","Stand up like a solider baby
Yeah, I know you built like that
Gun it like a holster baby
Show dem say you wicked like that
We live where the war is raging
Chasing our crazy dreams
Hoping that the bridge won't cave in
Tonight we let it all go free
Gimme the ting and make me rock in a dance
Gimme the ting and make me rock in a dance
Mash it up, hot step in a dance
Gimme the ting and make me rock, rock, rock, rock
Gimme the ting and make me rock in a dance
Gimme the ting and make me rock in a dance
Mash it up, hot step in a dance
Gimme the ting and make me
Light it up
Light it up
Light it up
(Light it up, light it up)
Show them you're flames to the fire
It's written like your name on a flyer
They wanna tame your desire
But you light it up now your aims getting higher
I dey wait for messiah
But until that day I'm a rise up high
I put my light in the air
I wanna see everywhere
1 by 1 let me see you
2 by 2 for the sequel
3 by 3 for my people
(I know say I'm bound to be next like my neighbour, ye)
1 by 1 let me see you
2 by 2 for the sequel
3 by 3 for my people
(1, 2, 3, everybody go!)
Light it up
Light it up, light it up
Light it up
(Light it up)
1 by 1 let me see you
2 by 2 for the sequel
3 by 3 for my people
(I know say I'm bound to be next like my neighbour, yeah)
1 by 1 let me see you
2 by 2 for the sequel
3 by 3 for my people
Set it, set it, set it, set it, set it... ablaze
Set it ablaze like a candle wick
Hotter hotter hotter hotter
Yeah light it up",1,0,0,0,0,0,0,1,
Live the Night,"W&W, Hardwell, Lil Jon","Yeah!
Double-U and Double-U
Hardwell
Lil' Jon
Everybody
I can feel it, tonight
Imma get lit, tonight
We're gon' show our ass, tonight
I hope I remember, tonight
Tonight
Bring yourself and live tonight!
Yeah!
Bring yourself and live tonight!
I can feel it, tonight
Imma get lit, tonight
We're gon' show our ass, tonight
I hope I remember, tonight
Tonight
Bring yourself and live tonight!
Yeah!
Bring yourself and live tonight!",1,0,0,0,0,0,0,1,
Take Her Place,"Don Diablo, Arizona","Ease my mind, with a little conversation
Left me high on our past time
Maybe if I use my imagination
Then I would be your love, you'd be mine
You know, I know, that we're both here all alone
Take my broken heart now and pull me close
You can take her place tonight
I need somebody in the morning
Somebody to hold me tight
You don't even have to meet her
And you can take her place tonight
Don't even have to talk in the morning
Though I know that ain't right
But you can take her place tonight
You can take her place tonight
I need somebody in the morning
Somebody to hold me tight
You don't even have to meet her
And you can take her place tonight
Don't even have to talk in the morning
Though I know that ain't right
But you can take her place tonight
I close my eyes, need your sweet distraction
It's been a long time and we're out here on the line
Doesn't need to be right, I need to fight the attraction
I just need you to steal my heart away from my mind
Hope you know, I know, why we're both here all alone
But take my broken heart now and pull me close
You can take her place tonight
I need somebody in the morning
Somebody to hold me tight
You don't even have to meet her
And you can take her place tonight
Don't even have to talk in the morning
Though I know that ain't right
But you can take her place tonight
You can take her place tonight
I need somebody in the morning
Somebody to hold me tight
You don't even have to meet her
And you can take her place tonight
Don't even have to talk in the morning
Though I know that ain't right
But you can take her place tonight
Damn you look good, yeah, you know that I want you
It's nothing personal, might never call you
'Cause I have some issues and I gotta warn you
But I don't gotta lie, know that ain't right
You can take her place tonight
I need somebody in the morning
Somebody to hold me tight
You don't even have to meet her
And you can take her place tonight
Don't even have to talk in the morning
Though I know that ain't right
But you can take her place tonight
You can take her place tonight
I need somebody in the morning
Somebody to hold me tight
You don't even have to meet her
And you can take her place tonight
Don't even have to talk in the morning
Though I know that ain't right
But you can take her place tonight",0,0,1,0,1,1,0,0,
Anthem,Don Diablo,"We love house music
We love house music
We love house music
We love house music
We love house music
We love house music
We love house music
We love house music
We love house music
We love house music
We love house music
We love house music
House music
House music
Music, music, music, music...
We love house music
We love house music
We love house music
We love house music
We love house music
We love house music
We love house music
We love house music
We love house music
We love house music
House music
House music
Music, music, music, music...
We love house music
We love house music",1,0,0,0,0,0,0,0,
Almost Home,"Sultan + Shepherd, Nadia Ali, IRO","As you came into my life
I knew I would be your wife
the choice I had I couldn't
make when I leave remember that
I'll be back again
I'll be back again
Search of heart
kiss of faith through your arms will dissapate
carry me through the haze
when you fall, you're the one
Always on my mind
All the loss and all the pain
I move in no time to waste
Hold on baby
I'm Almost Home
I'm Almost Home
I'm Almost Home
I said.Hold On baby
I'm Almost Home
I'm Almost Home
I'm Almost Home
Will you call for me
Will you wait and see
What you mean to me
I said hold on love
Will you call for me
Will you wait and see
What you mean to me
I said hold on hold on
oh... oh... hold on hold on oh... oh... hold on hold on oh... oh... hold on hold on
As she cry till the night
Promises of a light
From the your voice hear my name
echoing feel the way
I'll be back again, I'll be back again
Hands of God like a bear
Song of love kiss of tear
Free of words free of mind
And we go for by them side
Always on my mind, Always on my mind
All the lost and all the pain
Open arms away
Hold on baby I'm almost home
I'm almost home, I'm almost home
You said
Hold on baby I'm almost home
I'm almost home, I'm almost home
Will you call for me
Will you wait and see
What you mean to me
I said hold on love
Will you call for me
Will you wait and see
What you mean to me
I said hold on, hold on
oh... oh... Hold on hold on
oh... oh... hold on hold on
oh... oh... hold on hold on
(Hold on baby)
(Hold on baby)
(Hold on baby)",0,1,0,0,1,0,0,1,
All or Nothing (Remix),"Lost Frequencies, Axel Ehnstrom, Sultan + Shepherd","All or nothing
You know what you're doing, but the clock is ticking
Give it your best and then you're onto something
And keeps on getting closer, closer
All or nothing
Everything's silent and your head just sweating
So you're not sure exactly where you're heading
You know it's getting closer, closer
If you go all in, you got a lot to lose, my friend
All or nothing
If you say all in, you don't get to choose again
All or nothing
All or nothing
Take a step forward and you know she's looking
Take a deep breath before you make it happen
Keeps on getting closer, closer
If you go all in, you got a lot to lose, my friend
All or nothing
If you say all in, you don't get to choose again
All or nothing
All or nothing
If you go all in, you got a lot to lose, my friend
All or nothing
If you say all in, you don't get to choose again
All or nothing
If you go all in, you got a lot to lose, my friend
All or nothing
If you say all in, you don't get to choose again
All or nothing",0,0,1,0,0,0,0,1,
Crashing,Kyo,"I know you're hurting and its all too much
I see it in you when you feel my touch I know that hes been falling off your mind
And im hoping i can fill the space inside
And i wish i met you months ago, months ago
so i could tell you what you need to know, need to know
All this time that you've been on my mind, on my mind
been wishing i had you by my side, by my side
And you know if we come crashing down
no i wont mind it when we hit the ground
because i know that you and i would make it through
no i dont care if im crashing as long as im crashing with you",1,1,0,0,0,0,0,1,
I Need You (Remix),"Faul & Wad Ad, Avalanche City, KLYMVX","Oh my love
I'd fallen for you long before
You ever said a word to me
And now I see, I need you more
Oh my love
When I had you in my hands to hold
Your lips went inside my heart
And down my spine and left a hole
So I need you
More than anybody else
Oh I need you
Oh and I need you now
So I need you
More than anybody else
Oh I need you
Oh and I need you now
Oh my love
When you looked into my eyes
When you threw your arms around me
Oh you know you changed my life
Oh my love
When you whispered in my ear
It felt like an age reversed
And washed away all of my years
So I need you
More than anybody else
Oh I need you
Oh and I need you now
So I need you
More than anybody else
Oh I need you
Oh and I need you now",1,1,0,0,0,0,0,0,
Catch Me If You Can,"John Dahlback, Melanie Fontana","Looking down from the ledge on you and me
Hope you know how to catch I'm tumbling
And now my heart's in your hand
That means you've gotten the chance to not break me...
Because if anyone can
You can
You can
Catch me cause I'm falling in love
If anyone can
You can
You can
Catch me cause I'm falling in love
Ooohh...
I...
I think I'm falling
I...
I think I'm falling
I...
I think I'm falling
Catch me cause I'm falling in love
Ooh...
You got me falling so catch me if you can (×3)
Come on, come on...
Are you still in the race, you better
Come on, come on...
Cause I know you like the chase, you better
Pick up the pace oh yeah yeah
Don't make me wait
Yeah
Come on, come on...
Because if anyone can
You can
You can
Catch me cause I'm falling in love
If anyone can
You can
You can
Catch me cause I'm falling in love
Ooohh...
I...
I think I'm falling
I...
I think I'm falling
I...
I think I'm falling
Catch me cause I'm falling in love
Ooh...
You got me falling so catch me if you can (×3)
I...
I think I'm falling
I...
I think I'm falling
I...
I think I'm falling
Catch me cause I'm falling in love
Ooh...",1,1,0,1,0,0,0,1,
First Time,"M22, Medina","If you want me too
We can do it all night
No one else will do
Like it was the first time
You, got me feeling something, it's true
You
You, get me feeling more than I knew
You
If you want me too
We can do it all night, like it was the first time
No one else will do
We can do it all night, like it was the first time
You, got me feeling something, it's true
You
You, get me feeling more than I knew
We can do it all night, like it was the first time
Like it was the first time
We can do it all night
Like it was the first time
If you want me too
We can do it all night
No one else will do
Like it was the first time
You, got me feeling something, it's true
You
You, get me feeling more than I knew
We can do it all night, like it was the first time
Like it was the first time
We can do it all night, like it was the first time
You, got me feeling something, it's true
You
If you want me too
We can do it all night, like it was the first time
No one else will do
We can do it all night, like it was the first time
Like it was the first time
We can do it all night, like it was the first time
No one else will do
We can do it all night, like it was the first time",1,1,0,1,0,0,0,0,
